Company,Contract Type,Clause,Content,Summary,Embedding Shape
Brown PLC,CDA,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Brown PLC,CA,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Brown PLC,CA,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Brown PLC,CA,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Parsons-Freeman,CA,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Parsons-Freeman,CA,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Parsons-Freeman,CA,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Parsons-Freeman,MSA,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Parsons-Freeman,MSA,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Parsons-Freeman,MSA,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Young, Salinas and Brown",WO,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Young, Salinas and Brown",WO,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Young, Salinas and Brown",WO,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Young, Salinas and Brown",CA,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Young, Salinas and Brown",CA,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Young, Salinas and Brown",CA,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Rodriguez, Collins and Smith",MSA,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Rodriguez, Collins and Smith",MSA,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Rodriguez, Collins and Smith",MSA,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Rodriguez, Collins and Smith",CA,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Rodriguez, Collins and Smith",CA,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Rodriguez, Collins and Smith",CA,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Rodriguez, Collins and Smith",WO,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Rodriguez, Collins and Smith",WO,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Rodriguez, Collins and Smith",WO,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Dunn Ltd,CA,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Dunn Ltd,CA,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Dunn Ltd,CA,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Dunn Ltd,WO,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Dunn Ltd,WO,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Dunn Ltd,WO,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Dunn Ltd,MSA,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Dunn Ltd,MSA,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Dunn Ltd,MSA,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Combs-Benson,MSA,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Combs-Benson,MSA,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Combs-Benson,MSA,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Porter-Rodriguez,CA,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Porter-Rodriguez,CA,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Porter-Rodriguez,CA,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Porter-Rodriguez,CDA,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Porter-Rodriguez,CDA,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Porter-Rodriguez,WO,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Porter-Rodriguez,WO,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
Porter-Rodriguez,WO,payment terms,Payment Terms,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Higgins, Gonzalez and Patrick",CDA,confidentiality,Confidentiality,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
"Higgins, Gonzalez and Patrick",CDA,liability cap,Liability Cap,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,"torch.Size([1, 768])"
